"Effect","DFn","DFd","F","p","p<.05","ges","CASA"
"TREATMENT",3,6,9.203,0.012,"*",0.696,"PROGRESSIVE"
"TIME",1,2,6.568,0.124,"",0.315,"PROGRESSIVE"
"TREATMENT:TIME",3,6,0.931,0.481,"",0.133,"PROGRESSIVE"
"TREATMENT",3,6,22.52,0.001,"*",0.722,"MOTILE"
"TIME",1,2,4.372,0.172,"",0.232,"MOTILE"
"TREATMENT:TIME",3,6,0.803,0.536,"",0.034,"MOTILE"
"TREATMENT",3,6,9.38,0.011,"*",0.615,"RAPID"
"TIME",1,2,4.901,0.157,"",0.203,"RAPID"
"TREATMENT:TIME",3,6,0.659,0.606,"",0.039,"RAPID"
"TREATMENT",3,6,16.906,0.002,"*",0.709,"STATIC"
"TIME",1,2,4.71,0.162,"",0.226,"STATIC"
"TREATMENT:TIME",3,6,0.893,0.497,"",0.038,"STATIC"
"TREATMENT",3,6,7.734,0.017,"*",0.405,"AREA"
"TIME",1,2,11.199,0.079,"",0.393,"AREA"
"TREATMENT:TIME",3,6,1.436,0.322,"",0.078,"AREA"
