"Treatment","Mean","Standard Error","Time","CASA Parameter"
"C",10.67,2.85,0,"Progressive"
"1",8.67,0.67,30,"Progressive"
"2",11,2.08,30,"Progressive"
"3",3.67,0.67,30,"Progressive"
"4",6,1.15,30,"Progressive"
"1",7.67,1.45,75,"Progressive"
"2",6.67,0.67,75,"Progressive"
"3",1.33,1.33,75,"Progressive"
"4",4.67,0.33,75,"Progressive"
"C",25.67,3.84,0,"Motile"
"1",26,0.58,30,"Motile"
"2",23.67,0.33,30,"Motile"
"3",10.33,3.38,30,"Motile"
"4",17.33,1.45,30,"Motile"
"1",20,3,75,"Motile"
"2",20,3,75,"Motile"
"3",7.33,2.85,75,"Motile"
"4",14.67,2.91,75,"Motile"
"C",16.67,3.53,0,"Rapid"
"1",18,1.15,30,"Rapid"
"2",16.67,1.45,30,"Rapid"
"3",6.33,3.33,30,"Rapid"
"4",11,1.15,30,"Rapid"
"1",12.33,3.84,75,"Rapid"
"2",13.67,1.76,75,"Rapid"
"3",3.33,3.33,75,"Rapid"
"4",9,1,75,"Rapid"
"C",74,3.51,0,"Static"
"1",73.33,0.33,30,"Static"
"2",75.67,0.67,30,"Static"
"3",89.33,3.28,30,"Static"
"4",82,1.53,30,"Static"
"1",79.67,3.18,75,"Static"
"2",79.33,3.38,75,"Static"
"3",92,2.65,75,"Static"
"4",85,3.21,75,"Static"
"C",124.7,14.69,0,"Area"
"1",106.03,4.65,30,"Area"
"2",126.5,11.25,30,"Area"
"3",83.47,16.03,30,"Area"
"4",107.33,2.52,30,"Area"
"1",83.6,16.43,75,"Area"
"2",82.9,9.43,75,"Area"
"3",46.57,22.91,75,"Area"
"4",90.6,9.2,75,"Area"
