"TREATMENT",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"1","MOTILE","0","1",3,3,-0.0848188929679971,2,0.94,1,"ns"
"1","MOTILE","0","2",3,3,0.975016868949888,2,0.432,1,"ns"
"1","MOTILE","1","2",3,3,1.7084843923545,2,0.23,1,"ns"
"2","MOTILE","0","1",3,3,0.5,2,0.667,1,"ns"
"2","MOTILE","0","2",3,3,0.975016868949888,2,0.432,1,"ns"
"2","MOTILE","1","2",3,3,1.375,2,0.303,1,"ns"
"3","MOTILE","0","1",3,3,2.12408264408221,2,0.168,0.308,"ns"
"3","MOTILE","0","2",3,3,2.73974514762695,2,0.111,0.305,"ns"
"3","MOTILE","1","2",3,3,5.19615242270663,2,0.035,0.193,"ns"
"4","MOTILE","0","1",3,3,1.61039156600208,2,0.249,0.456,"ns"
"4","MOTILE","0","2",3,3,1.67748427365865,2,0.235,0.456,"ns"
"4","MOTILE","1","2",3,3,1.83532587096449,2,0.208,0.456,"ns"
"1","PROGRESSIVE","0","1",3,3,0.794719414239026,2,0.51,0.58,"ns"
"1","PROGRESSIVE","0","2",3,3,0.74230748895809,2,0.535,0.58,"ns"
"1","PROGRESSIVE","1","2",3,3,0.654653670707977,2,0.58,0.58,"ns"
"2","PROGRESSIVE","0","1",3,3,-0.152498570332605,2,0.893,0.893,"ns"
"2","PROGRESSIVE","0","2",3,3,1.58943882847805,2,0.253,0.38,"ns"
"2","PROGRESSIVE","1","2",3,3,1.85714285714286,2,0.204,0.38,"ns"
"3","PROGRESSIVE","0","1",3,3,1.99323179108025,2,0.184,0.184,"ns"
"3","PROGRESSIVE","0","2",3,3,2.23464327650934,2,0.155,0.184,"ns"
"3","PROGRESSIVE","1","2",3,3,3.5,2,0.073,0.184,"ns"
"4","PROGRESSIVE","0","1",3,3,1.18746450155196,2,0.357,0.456,"ns"
"4","PROGRESSIVE","0","2",3,3,2.38415824271708,2,0.14,0.42,"ns"
"4","PROGRESSIVE","1","2",3,3,0.917662935482247,2,0.456,0.456,"ns"
"1","STATIC","0","1",3,3,0.179605302026775,2,0.874,0.874,"ns"
"1","STATIC","0","2",3,3,-1.03267645669234,2,0.41,0.615,"ns"
"1","STATIC","1","2",3,3,-1.87212562851216,2,0.202,0.606,"ns"
"2","STATIC","0","1",3,3,-0.43355498476206,2,0.707,0.707,"ns"
"2","STATIC","0","2",3,3,-0.971930782769259,2,0.434,0.651,"ns"
"2","STATIC","1","2",3,3,-1.34386388791936,2,0.311,0.651,"ns"
"3","STATIC","0","1",3,3,-2.26625733977787,2,0.152,0.152,"ns"
"3","STATIC","0","2",3,3,-2.9459415181859,2,0.098,0.148,"ns"
"3","STATIC","1","2",3,3,-4,2,0.057,0.148,"ns"
"4","STATIC","0","1",3,3,-1.6,2,0.251,0.251,"ns"
"4","STATIC","0","2",3,3,-1.67748427365865,2,0.235,0.251,"ns"
"4","STATIC","1","2",3,3,-1.73205080756888,2,0.225,0.251,"ns"
"1","AREA","0","1",3,3,1.03034701350051,2,0.411,0.411,"ns"
"1","AREA","0","2",3,3,1.50386095862131,2,0.272,0.411,"ns"
"1","AREA","1","2",3,3,1.22966942992019,2,0.344,0.411,"ns"
"2","AREA","0","1",3,3,-0.0694163672623617,2,0.951,0.951,"ns"
"2","AREA","0","2",3,3,2.04719210494466,2,0.177,0.265,"ns"
"2","AREA","1","2",3,3,3.92660027035354,2,0.059,0.178,"ns"
"3","AREA","0","1",3,3,1.50388384520273,2,0.272,0.272,"ns"
"3","AREA","0","2",3,3,2.161261092651,2,0.163,0.244,"ns"
"3","AREA","1","2",3,3,3.76589434430626,2,0.064,0.191,"ns"
"4","AREA","0","1",3,3,1.0196514778288,2,0.415,0.415,"ns"
"4","AREA","0","2",3,3,1.69871927166534,2,0.231,0.347,"ns"
"4","AREA","1","2",3,3,1.74633258276389,2,0.223,0.347,"ns"
