"gene","log2fc"
"HNRNPM",0.442626055
"KCTD1",2.413795126
"ISOC1",0.306038342
"SSBP2",1.005351143
"IGFBP3",1.036600022
"EPDR1",0.911965024
"TBC1D12",0.588135717
"ALDH18A1",0.373454436
"DNMT3A",0.537489445
"FGFR1",1.489928161
"DIPK2A",0.581302212
"TFDP2",0.431566784
"PXYLP1",0.325111622
"ORC4",0.450220494
"SLC39A10",0.536425081
"SFPQ",0.670900856
"KDM5B",0.84107064
"SMPD2",0.445525254
"HMGN3",0.670998274
"CILK1",0.406816271
"MYH10",0.449056817
"ETV4",0.305221323
"WSB1",0.890519336
"TRA2B",0.46131274
"DUSP6",0.285446277
"GUCY1B1",0.37648477
"ELOVL6",1.001098713
"CCDC160",0.449680591
"HPRT1",0.600755829
"APP",0.383201169
"AP3S1",0.378625702
"RCOR3",0.327934002
"ANP32A",0.373099683
"NUP93",0.362585777
"MSH6",0.333961725
"HSPD1",0.341016134
"TASP1",0.346401593
"FXR1",0.30348021
"HNRNPC",0.285973036
"CUL2",0.266360464
"TFDP1",0.286888259
